reward_today,future_today,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,30,7,0,0,0,0,0.24263069999869913,,0.1747544999816455,0.24263069999869913,1.0114145999832544,1.0114145999832544,1.2446965999843087,3.049072399997385,t,2.020593599998392,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
27,50,21,0,1,1,2,3.0633389999857172,,3.05026259997976,3.0633389999857172,4.0609543999889866,4.0609543999889866,4.077795699995477,5.230349399993429,t,1.1641765999956988,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
15,35,13,0,2,2,1,5.244681099982699,,5.231221999973059,5.244681099982699,6.244501699984539,6.244501699984539,6.244501699984539,7.114738599979319,t,0.8638721999886911,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
40,55,62,0,3,3,3,7.132643599994481,,7.115522399981273,7.132643599994481,8.127926299988758,8.127926299988758,8.144581499975175,8.880240099999355,l,0.7470589999866206,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
49,60,89,0,4,4,4,8.902548599988222,,8.88142429999425,8.902548599988222,9.894883899978595,9.894883899978595,9.911618499987526,10.513360999990255,l,0.6106434000248555,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
78,80,162,0,5,5,6,10.532299999991665,,10.514738300000317,10.532299999991665,11.528048999985913,11.528048999985913,11.546127499983413,12.029424399981508,l,0.4990121999871917,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
67,75,119,0,6,6,5,12.047373799985508,,12.031221699988237,12.047373799985508,13.044741299992893,13.044741299992893,13.061551899998449,13.663416899973527,l,0.6031320999900345,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
27,50,21,1,0,7,2,13.683711799996672,,13.66458379998221,13.683711799996672,14.677554699999746,14.677554699999746,14.695105299993884,15.38036139999167,t,0.6940300999849569,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
11,30,7,1,1,8,0,15.397711699974025,,15.38166749998345,15.397711699974025,16.39513559997431,16.39513559997431,16.411202399991453,16.952064099983545,t,0.5445968999993056,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
15,35,13,1,2,9,1,16.97218039998552,,16.953599999978906,16.97218039998552,17.96086279998417,17.96086279998417,17.97855569998501,18.496199999994133,t,0.5239236000052188,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
78,80,162,1,3,10,6,18.514347399992403,,18.497135599987814,18.514347399992403,19.511739299981855,19.511739299981855,19.527794099994935,20.06258249998791,l,0.5407122999895364,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
49,60,89,1,4,11,4,20.080836899986025,,20.06327259997488,20.080836899986025,21.078962299972773,21.078962299972773,21.094566399988253,22.363090699975146,l,1.267286599992076,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
40,55,62,1,5,12,3,22.377491699997336,,22.36387649999233,22.377491699997336,23.37853119999636,23.37853119999636,23.37853119999636,23.828200799995102,l,0.4397803000174463,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
67,75,119,1,6,13,5,23.845731599983992,,23.828943799977424,23.845731599983992,24.84437929998967,24.84437929998967,24.86144319997402,25.42939779997687,l,0.582204999984242,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
40,55,62,2,0,14,3,25.44628819997888,,25.430231999984244,25.44628819997888,26.44417789997533,26.44417789997533,26.46115920000011,26.896398099983344,l,0.442552299995441,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
67,75,119,2,1,15,5,26.912120199995115,,26.897676699998556,26.912120199995115,27.912484499975108,27.912484499975108,27.912484499975108,28.36250389998895,l,0.4379367999790702,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
27,50,21,2,2,16,2,28.38130129998899,,28.363783699984197,28.38130129998899,29.377516899985494,29.377516899985494,29.39527189999353,29.962082499987446,t,0.569171599985566,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
11,30,7,2,3,17,0,29.980011199979344,,29.96297079999931,29.980011199979344,30.977585099986754,30.977585099986754,30.99425409999094,31.548549499973888,t,0.5672257000114769,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
15,35,13,2,4,18,1,31.56598469999153,,31.550267199985683,31.56598469999153,32.56077089998871,32.56077089998871,32.57821669999976,33.147077299974626,t,0.5839631000126246,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
78,80,162,2,5,19,6,33.16558439997607,,33.148707799991826,33.16558439997607,34.16110669999034,34.16110669999034,34.177634099993156,34.96645229999558,l,0.7996511000092141,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
49,60,89,2,6,20,4,34.98391269997228,,34.96800159997656,34.98391269997228,35.97758849998354,35.97758849998354,35.99531779999961,37.14646749998792,l,1.150809200014919,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
40,55,62,3,0,21,3,37.176430199993774,,37.14722879999317,37.176430199993774,38.16074899997329,38.16074899997329,38.17703619998065,38.81250279999222,l,0.6496462000068277,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
49,60,89,3,1,22,4,38.83170839998638,,38.81344519997947,38.83170839998638,39.8280866999994,39.8280866999994,39.84395559999393,40.61177729998599,l,0.7772244999941904,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
67,75,119,3,2,23,5,40.62967599998228,,40.61307870000019,40.62967599998228,41.62698719999753,41.62698719999753,41.64407929999288,42.29622269998072,l,0.664200900006108,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
11,30,7,3,3,24,0,42.314853099989705,,42.297366899991175,42.314853099989705,43.3102689999796,43.3102689999796,43.32745739998063,43.79530899997917,t,0.4775012999889441,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
78,80,162,3,4,25,6,43.814129799982766,,43.79596569997375,43.814129799982766,44.81103989999974,44.81103989999974,44.827274599985685,48.280064399994444,l,3.463364700000966,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
15,35,13,3,5,26,1,48.29576799998176,,48.281079299980775,48.29576799998176,49.29308389997459,49.29308389997459,49.310246499982895,49.91140969999833,t,0.602606200001901,None,854885,001,2024-11-12_08h40.30.890,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h40.38.866819 +0530,
