reward_today,future_today,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.33233439998002723,,0.2603827999846544,0.33233439998002723,1.0041511000017636,1.0041511000017636,1.3366922999848612,4.490536299999803,l,3.474643900000956,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
67,75,119,0,1,1,5,4.505283000005875,,4.491401999985101,4.505283000005875,5.503594999987399,5.503594999987399,5.519380099984119,8.421413500007475,t,2.902016000007279,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
49,60,89,0,2,2,4,8.437535100005334,,8.422258499980671,8.437535100005334,9.4357655000058,9.4357655000058,9.4357655000058,10.387349199998425,t,0.939548599999398,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
78,80,162,0,3,3,6,10.404534500004956,,10.388627899985295,10.404534500004956,11.402902100002393,11.402902100002393,11.419531499996083,12.671835699991789,t,1.2511622999736574,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
11,30,7,0,4,4,0,12.696154399978695,,12.67272599998978,12.696154399978695,13.686642599990591,13.686642599990591,13.702580699988175,14.542037699982757,l,0.8403092000226025,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
15,35,13,0,5,5,1,14.568955900002038,,14.543021999998018,14.568955900002038,15.553784199990332,15.553784199990332,15.569754700001795,16.242899200005922,l,0.6851330000208691,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
27,50,21,0,6,6,2,16.2577384999895,,16.243692499992903,16.2577384999895,17.252532999991672,17.252532999991672,17.26962690000073,20.12175200000638,t,2.8672387000115123,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
67,75,119,1,0,7,5,20.13803169998573,,20.122850199986715,20.13803169998573,21.136093499982962,21.136093499982962,21.152440599980764,21.971524799999315,t,0.8285273000074085,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
27,50,21,1,1,8,2,22.001514100003988,,21.972403799998574,22.001514100003988,22.986452999990433,22.986452999990433,23.002449199993862,23.672719599999255,l,0.6684864000126254,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
15,35,13,1,2,9,1,23.687614700000267,,23.67493320000358,23.687614700000267,24.686625999980606,24.686625999980606,24.70245199999772,26.505254799994873,l,1.808363799995277,None,210073,001,2024-11-12_08h34.43.517,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h34.51.310949 +0530,
